"ZoteroID","Title","Publication Year","Author"
"S25TRU2G","Leatherback turtles (Dermochelys coriacea) on St. Croix, U.S. Virgin Islands: Fifteen years of conservation",1996,"Boulon, Ralf H.; Dutton, Peter H.; McDonald, Donna L."
"2BC5WCBV","Conservation and reproductive activity of Olive Ridley sea turtles (Lepidochelys olivacea) in Punta Banco, a solitary nesting beach in South Pacific Costa Rica: Management recommendations after sixteen years of monitoring",2015,"Viejobueno Munoz, Sandra; Arauz, Randall"
"82PVT5VJ","Reproductive activity of Chelonia mydas (Testudines: Cheloniidae) in Isla de Aves, Venezuela (2001-2008).",2012,"Vera, Vicente; Buitrago, Joaquin"
"HSSRIQ6F","Nesting and conservation of the Olive Ridley sea turtle (Lepidochelys olivacea) in playa Drake, Osa Peninsula, Costa Rica (2006-2012)",2015,"James, Robert; Melero, David"
"UNJJ9827","Dermochelys coriacea (Testudienes : Dermochelyidae) neting in playa Gandoca, Costa Rica (1990 through 1997)",1999,"Chaverri, D. C."
"TWJXKD5U","Features Lepidochelys olivacea Nesting (Testudinata: Cheloniidae) between 2010 and 2012 in Playa Tortuga Ojochal, Osa, Puntarenas, Costa Rica",2015,"Brenes Arias, Oscar; Bonilla Bonilla, Lorena; Bonilla Salazar, Adrian; Vega Delgado, Agustin"
"3GFCNZWZ","Golfo Dulce, Costa Rica, an important foraging ground for the Pacific hawksbill turtle (Eretmochelys imbricata)",2015,"Chacon-Chaverri, Didiher; Martinez-Cascante, David A.; Rojas, David; Fonseca, Luis G."
"7ICUR8IV","Population and genetic study of the turtle Chelonia mydas agassizii (Sauria: Cheloniidae) in Chinchorro Beach, Arica, Chile",2014,"Veliz, David; Salinas, Paula; Sielfeld, Walter; Contreras, Dario; Azocar, Cristian; Tobar, Marcos; Gallardo, Jesus"
"UG9RK9EN","Stranding and captures of sea turtles in the surroundings of the Ebro Delta (NE Spain) between 1984 and 2001",2003,"Bertolero, Albert"
"AE6MWIWS","Population genetic structure of greater Caribbean green turtles (Chelonia mydas) based on mitochondrial DNA sequences, with an emphasis on rookeries from southwestern Cuba",2010,"Ruiz-Urquiola, Ariel; Riveron-Giro, Frander B.; Perez-Bermudez, Emir; Abreu-Grobois, Francisco A.; Gonzalez-Pumariega, Maribel; James-Petric, Benjamin L.; Diaz-Fernandez, Rogelio; Alvarez-Castro, Jose M.; Jager, Murier; Azanza-Ricardo, Julia; Espinosa-Lopez, Georgina"
"ACU2E3RJ","Green turtle (Chelonia mydas) effective nesting population size in Caleta de los Piojos beach, Guanahacabibes Peninsula, Cuba, estimated using saturation tagging",2007,"Ferrer Sanchez, Yarelys; Fernandez, Rogelio Diaz; Cruz, Yosvany Medina; Ibarra Martin, Maria Elena"
"UG3UBS58","Genetic characterization of the olive ridley sea turtle -Lepidochelys olivacea- in Gorgona National Natural Park (Colombian Pacific) from mitochondrial DNA sequences.",2008,"Camacho-Mosquera, Lindamar; Amorocho, Diego; Mejia-Ladino, Luz M.; Rondon-Gonzalez, Fernando; Palacio-Mejia, Juan D."
"TPUQSPA3","Nesting characteristics of the green turtle Chelonia mydas (Testudinata, Cheloniidae) at Caleta de los Piojos Beach, Cuba, determined from tagging studies",2007,"Ferrer Sanchez, Y.; Díaz-Fernández, R.; Díaz Fernández, R."
"2PUM5IA6","Phylogeographic relations of some feeding and nesting of hawksbill turtle rookeries (Eretmochelys imbricata) in the Caribbean and Pacific of Colombia",2014,"Trujillo-Arias, Natalia; Amorocho, Diego F.; Lopez-Alvarez, Diana; Mejia-Ladino, Luz M."
"F7RFQ4PG","Satellite tracking of green turtle females Chelonia mydas and the evaluation of their home ranges in the north coast of the Yucatan Peninsula, Mexico",2013,"Mendez, Dennis; Cuevas, Eduardo; Navarro, Jorge; Gonzalez-Garza, Blanca I.; Guzman-Hernandez, Vicente"
"3TVWKQQB","Satellite tracking of migration for three captive-reared junvenile [juvenile] green turtles from Huidong National Sea Turtle Reserve.",2015,"Ye, Mingbin; Chen, Hualing; Gu, Hexiang; Li, Pipeng"
"PIKMCTF4","Nesting ecology of hawksbill turtles at a rookery of international significance in Australia's Northern Territory",2016,"Hoenner, Xavier; Whiting, Scott D.; Enever, Gavin; Lambert, Keith; Hindell, Mark A.; McMahon, Clive R."
"SEBIKMI9","Tracking sea turtle hatchlings - A pilot study using acoustic telemetry",2013,"Thums, Michele; Whiting, Scott D.; Reisser, Julia W.; Pendoley, Kellie L.; Pattiaratchi, Chari B.; Harcourt, Robert G.; McMahon, Clive R.; Meekan, Mark G."
"WAU8ZWC3","The value of migration information for conservation prioritization of sea turtles in the Mediterranean",2016,"Mazor, T.; Beger, M.; Mcgowan, J.; Possingham, H.P.; Kark, S."
"GPR69CZJ","Hatching, rearing, release and tagging programme for hawksbill turtles in the Seribu Islands, Jakarta, West Java.",1997,"Halim, Matheus H.; Kulsum, Umi; Yusuf, Akil"
"E7XWTS2V","Migration and movement of olive Ridleys along the east coast of India.",2006,"Pandav, Bivash; Choudhury, B. C."
"96JHWXMR","Nomadic behaviour of the highly migratory olive ridley sea turtle Lepidochelys olivacea in the eastern tropical Pacific Ocean",2010,"Plotkin, Pamela T."
"A3GEDBMN","Interaction between behavior of marine organisms and the performance of satellite transmitters: A marine turtle case study",1998,"Plotkin, P. T."
"QVTK6FEZ","Dispersal and dive patterns during the post-nesting migration of olive ridley turtles from French Guiana",2015,"Plot, Virginie; de Thoisy, Benoit; Georges, Jean-Yves"
"UWRSCV3S","Reproductive synchrony in a recovering bottlenecked sea turtle population",2012,"Plot, Virginie; de Thoisy, Benoit; Blanc, Stephane; Kelle, Laurent; Lavergne, Anne; Roger-Berubet, Helene; Tremblay, Yann; Fossette, Sabrina; Georges, Jean-Yves"
